surface,menu_page,page_route,control_type,action_name,method,normalized_path,parameter_fields,parameter_sources,http_status,business_status,response_structure,auth_role,side_effect,before_state,after_state,original_classification,original_name,current_use_classification,evidence
client,Registration,/,controlled_action,request registration OTP,POST,/member/sms,country_code|phone|reason,phone<-this-run allocation;country_code|reason<-FAT defaults,200,true,data:object,guest plus admin SMS OTP read role,OTP issued,exact admin lookup absent,OTP id issued,client/member,短信发送-seven|短信发送-wesley,ACTIVE,record-flow-kyc-registration.json
client,Registration,/,controlled_action,register this-run member,POST,/member/register,otp_id|code|password|invite_code|i,otp_id/code<-FAT SMS;password<-secure env;others<-defaults,200,true,data:object,guest,new member created,no member at exact allocated phone,member created for target_ref,client/auth,注册,ACTIVE,record-flow-kyc-registration.json
client,KYC,/s-kyc-v2,page,initialize KYC form,POST,/member/kyc/shops,,authenticated KYC page default,200,true,data:list,authenticated client,none,kyc_status=0,shop options loaded,client/kyc,获取门店列表 -- owen,ACTIVE,record-flow-kyc-client-ui.json
client,KYC,/s-kyc-v2,page,initialize eKYC configuration,GET,/member/kyc/ekyc/info,,authenticated KYC page default,200,true,data:object(signature_id|state),authenticated client,none,kyc_status=0,eKYC configuration loaded,client/kyc,ekyc 配置,ACTIVE,record-flow-kyc-client-ui.json
client,KYC,/s-kyc-v2,page,load KYC detail,GET,/member/kyc/detail,,authenticated session,200,true,data:object including kyc_status,authenticated client,none,kyc_status=0,before submit status confirmed 0,client/kyc,获取 kyc 详情 -- double/cold,ACTIVE,record-flow-kyc-client-ui.json
client,KYC,/s-kyc-v2?step=form_3,button,Submit upload front/back/selfie 1,POST,/member/oss/upload,multipart:file,file<-repository legal test image,200,true,data:object(object_key|signed_url),authenticated client,test attachment stored,three local test previews,server object created,admin/kyc,上传 kyc 相关图片 - double,MISCLASSIFIED,record-flow-kyc-client-ui.json
client,KYC,/s-kyc-v2?step=form_3,button,Submit upload front/back/selfie 2,POST,/member/oss/upload,multipart:file,file<-repository legal test image,200,true,data:object(object_key|signed_url),authenticated client,test attachment stored,three local test previews,server object created,admin/kyc,上传 kyc 相关图片 - double,MISCLASSIFIED,record-flow-kyc-client-ui.json
client,KYC,/s-kyc-v2?step=form_3,button,Submit upload front/back/selfie 3,POST,/member/oss/upload,multipart:file,file<-repository legal test image,200,true,data:object(object_key|signed_url),authenticated client,test attachment stored,three local test previews,server object created,admin/kyc,上传 kyc 相关图片 - double,MISCLASSIFIED,record-flow-kyc-client-ui.json
client,KYC,/s-kyc-v2?step=form_3,button,Submit KYC application,POST,/member/kyc/v2/insert,attachments|birthday|country_code|current_address|first_name|gender|id_type|last_name|middle_name|nationality|nature_of_work|nearest_branch|occupation|permanent_address|phone|place_of_birth|shop_id|signature_id|source_of_income|user_message,form<-controlled synthetic values;attachments<-upload results;phone/session<-this-run member,200,true,data:null,authenticated client,KYC record submitted,kyc_status=0,kyc_status=2 and result_0,client/kyc,提交 kyc v2 -- double/cold/owen,ACTIVE,record-flow-kyc-client-ui.json
client,KYC,/s-kyc-v2?step=result_0,page,refresh submitted/approved KYC status,GET,/member/detail,,authenticated session,200,true,data:object including kyc_status,authenticated client,none,status 2 after submit,status 5 after admin approval,client/member,获取会员信息-seven-aliang(20260424),ACTIVE,record-flow-kyc-client-ui.json|record-flow-kyc-after-status.json
admin,KYC,/kyc,page,initialize approval counts,GET,/admin/kyc/approved/count,,admin page default,200,true,data:object(kyc_approved|kyc_under_review),authenticated admin,none,pending record exists,count loaded,admin/kyc,统计每天审核通过数量,ACTIVE,record-flow-kyc-ui-inventory.json
admin,KYC,/kyc,button,Query exact this-run phone under review,POST,/admin/kyc/list,created_end_time|created_start_time|kyc_status|page|page_size|phone|source,phone<-0600 runtime target;status<-Under Review;page/date/source<-UI defaults,200,true,"data:object(d|s|t);list_count=1,total=1",authenticated admin with KYC access,none,kyc_status=2,unique target row found,admin/kyc,获取 kyc 列表 - double/owen,ACTIVE,record-flow-kyc-ui-inventory.json
admin,KYC,/kyc,button,EKYC Config open,GET,/admin/kyc/config/info,,configuration dialog initialization,200,true,data:object(auto_review|ekyc|id),authenticated admin with KYC access,none,configuration unchanged,configuration unchanged,admin/kyc,获取ekyc相关配置,ACTIVE,record-flow-kyc-ui-inventory.json
admin,KYC,/kyc,button,Change Log,GET,/admin/kyc/ekyc/log,uid,uid<-unique queried row,200,true,"data:object(d|t);list_count=1,total=1",authenticated admin with KYC access,none,pending target row,change log displayed,admin/kyc,异动记录,ACTIVE,record-flow-kyc-ui-inventory.json
admin,KYC,/kyc,button,Review OK - Approve Application,POST,/admin/kyc/approve,comment|uid,comment<-controlled remark;uid<-unique queried row,200,true,data:null,authenticated admin with KYC review permission,KYC approved,kyc_status=2,client-confirmed kyc_status=5,admin/kyc,kyc 审核通过 - double,ACTIVE,record-flow-kyc-ui-inventory.json|record-flow-kyc-after-status.json
