method,normalized_path,classification,success_events,failed_events,pages,actions,http_statuses,business_statuses,evidence_sources
GET,/admin/ad/material/platform/menu,ACTIVE,4,0,/operations/material-management,3 | 4 | Reset | page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/ad/material/type/list,ACTIVE,2,0,/operations/material-management,Material Type Settings | page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/banner/menu,ACTIVE,1,0,/operations/client-config,page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/bonus/list,ACTIVE,2,0,Bonus Log | Member / Member Detail,Bonus Log | Query / 查 询,200,True | true,record-flow-member-action-endpoint.csv | record-flow-member-tab-readonly-action-endpoint.csv
GET,/admin/bonus/review/list,ACTIVE,4,0,/operations/activity-expenditure-audit,Apply registered filters via Query | Query | Reset | page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/bonus/review/noneed/list,ACTIVE,1,0,/operations/activity-expenditure-audit,Approved Bonus,200,True,fat-admin-endpoint-summary.csv
GET,/admin/buriedPoint/list,ACTIVE,2,0,/operations/advertisement-tracking,Full-site Tracking | page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/channel/dict,ACTIVE,2,0,/operations/daily-reports,Reset | page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/channel/group/dict,ACTIVE,5,0,/promo-marketing/effect-evaluation | /promo-marketing/first-deposit-daily-active | /promo-marketing/promotion-data | /promo-marketing/register-daily-active | /promo-marketing/statistical-reports,page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/channel/group/list,ACTIVE,1,0,/promo-marketing/channels,page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/channel/manage/dict,ACTIVE,10,0,/member-center/list | /promo-marketing/effect-evaluation | /promo-marketing/first-deposit-daily-active | /promo-marketing/promotion-data | /promo-marketing/register-daily-active | /promo-marketing/statistical-reports,Reset | page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/channel/manage/list,ACTIVE,6,0,/promo-marketing/channels,2 | 3 | Apply registered filters via Query | Query | Reset | page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/channel/promoData/consumption,ACTIVE,1,0,/promo-marketing/promotion-data,修改,200,True,fat-admin-endpoint-summary.csv
GET,/admin/channel/promoData/list,ACTIVE,4,0,/promo-marketing/promotion-data,2 | 3 | Reset | page initialization,200,True,fat-admin-endpoint-summary.csv
GET,/admin/channel/promoData/logs,ACTIVE,1,0,/promo-marketing/promotion-data,查看,200,True,fat-admin-endpoint-summary.csv
GET,/admin/channel/promotion/deposit/list,ACTIVE,4,0,/operations/recharge-template,Apply registered filters via Search | Reset | Search | page initialization,200,True,fat-admin-endpoint-summary.csv
