method,normalized_path,classification,success_events,failed_events,pages,actions,http_statuses,business_statuses,original_surface,original_module,original_name,original_source_file,evidence
GET,/admin/ad/material/platform/menu,ACTIVE,4,0,/operations/material-management,3 | 4 | Reset | page initialization,200,True,admin,other,素材管理支持的平台枚举,后台/运营管理/客户端管理/素材管理/素材管理支持的平台枚举.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/ad/material/type/list,ACTIVE,2,0,/operations/material-management,Material Type Settings | page initialization,200,True,admin,other,素材种类列表,后台/运营管理/客户端管理/素材管理/素材种类列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/banner/menu,ACTIVE,1,0,/operations/client-config,page initialization,200,True,admin,other,轮播图菜单,后台/轮播图-首页弹窗/轮播图菜单.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/bonus/review/list,ACTIVE,4,0,/operations/activity-expenditure-audit,Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,other,待审订单列表 - felix.bru,后台/礼金/待审订单列表 - felix.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/bonus/review/noneed/list,ACTIVE,1,0,/operations/activity-expenditure-audit,Approved Bonus,200,True,admin,other,导出过审礼金列表 - felix.bru,后台/礼金/导出过审礼金列表 - felix.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/buriedPoint/list,ACTIVE,2,0,/operations/advertisement-tracking,Full-site Tracking | page initialization,200,True,admin,other,埋点列表-todo,后台/埋点/埋点列表-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/dict,ACTIVE,2,0,/operations/daily-reports,Reset | page initialization,200,True,admin,report,渠道字典,后台/报表/渠道字典.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/group/dict,ACTIVE,5,0,/promo-marketing/effect-evaluation | /promo-marketing/first-deposit-daily-active | /promo-marketing/promotion-data | /promo-marketing/register-daily-active | /promo-marketing/statistical-reports,page initialization,200,True,admin,permission,渠道分组字黄-todo,后台/运营管理/推广管理/渠道管理/渠道分组/渠道分组字黄-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/group/list,ACTIVE,1,0,/promo-marketing/channels,page initialization,200,True,admin,permission,渠道分组列表-todo,后台/运营管理/推广管理/渠道管理/渠道分组/渠道分组列表-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/manage/dict,ACTIVE,10,0,/member-center/list | /promo-marketing/effect-evaluation | /promo-marketing/first-deposit-daily-active | /promo-marketing/promotion-data | /promo-marketing/register-daily-active | /promo-marketing/statistical-reports,Reset | page initialization,200,True,admin,other,渠道管理字典-todo,后台/运营管理/推广管理/渠道管理/渠道管理字典-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/manage/list,ACTIVE,6,0,/promo-marketing/channels,2 | 3 | Apply registered filters via Query | Query | Reset | page initialization,200,True,admin,other,渠道管理列表-todo,后台/运营管理/推广管理/渠道管理/渠道管理列表-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/promoData/consumption,ACTIVE,1,0,/promo-marketing/promotion-data,修改,200,True,admin,promo,推广数据面板消耗详情-todo,后台/运营管理/推广管理/推广数据/推广数据面板消耗详情-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/promoData/list,ACTIVE,4,0,/promo-marketing/promotion-data,2 | 3 | Reset | page initialization,200,True,admin,promo,推广数据列表-todo,后台/运营管理/推广管理/推广数据/推广数据列表-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/promoData/logs,ACTIVE,1,0,/promo-marketing/promotion-data,查看,200,True,admin,promo,推广数据日志-todo,后台/运营管理/推广管理/推广数据/推广数据日志-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/promotion/deposit/list,ACTIVE,4,0,/operations/recharge-template,Apply registered filters via Search | Reset | Search | page initialization,200,True,admin,finance,充值模版列表,后台/渠道推广-充值模版/充值模版列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/promotion/domain/list,ACTIVE,4,0,/site-management/domain-management,Apply registered filters via Search | Reset | Search | page initialization,200,True,admin,promo,列表,后台/渠道推广-域名管理/列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/promotion/effect,UNDOCUMENTED_ACTIVE,1,0,/promo-marketing/effect-evaluation,page initialization,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/promotion/firstDeposit,UNDOCUMENTED_ACTIVE,1,0,/promo-marketing/first-deposit-daily-active,page initialization,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/promotion/register,UNDOCUMENTED_ACTIVE,1,0,/promo-marketing/register-daily-active,page initialization,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/channel/promotion/satistic,UNDOCUMENTED_ACTIVE,2,0,/promo-marketing/statistical-reports,Reset | page initialization,200,True,,,,,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/client/version/list,ACTIVE,1,0,/operations/client-config,版本号管理,200,True,admin,other,版本管理列表,后台/运营管理/客户端管理/版本号管理/版本管理列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/domain/listForSelect,ACTIVE,1,0,/operations/advertisement-tracking,page initialization,200,True,admin,other,域名选项列表-todo,后台/域名/域名选项列表-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/filcoin/order/list,ACTIVE,1,0,/payment/recharge-card-orders/list,Token Mall Orders,200,True,admin,finance,代币商城订单列表-todo,后台/财务管理/代币商城订单/代币商城订单列表-todo.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/finance/member/wallet,ACTIVE,1,0,/member-center/list,View Details,200,True,admin,finance,会员钱包 - wesley,后台/会员列表/会员钱包 - wesley.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/finance/payment/bank/list,ACTIVE,1,0,/payment/channel-ordersV2,银行列表,200,True,admin,finance,银行卡列表,后台/财务管理/银行卡/银行卡列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/finance/payment/channel/list,ACTIVE,2,0,/payment/channel-ordersV2,Deposit Merchant Config | 提现商户配置,200,True,admin,finance,支付渠道通道列表,后台/财务管理/支付渠道/支付渠道通道列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/finance/payment/deposit/channels,ACTIVE,2,0,/payment/recharge-orders/list | /risk-control/dw-audit,Deposit Order | page initialization,200,True,admin,finance,支付渠道列表-cold,后台/财务管理/存款记录/支付渠道列表-cold.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/finance/payment/platform/list,ACTIVE,5,0,/payment/channel-ordersV2,Apply registered filters via Query | Query | Reset | Withdrawal Channel Config | page initialization,200,True,admin,finance,支付平台列表,后台/财务管理/支付渠道/支付平台列表.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/finance/payment/withdraw/channels,ACTIVE,3,0,/payment/withdraw-orders/list | /risk-control/dw-audit,Withdrawal Order | page initialization,200,True,admin,finance,提现渠道列表-cold,合规/财务管理/财务记录/提现渠道列表-cold.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/finance/transaction/types,ACTIVE,2,0,/payment/transaction-orders,Reset | page initialization,200,True,admin,finance,账变类型- wesley,后台/财务管理/会员钱包账变/账变类型- wesley.bru,valid stage 2/3 UI Network; see page-action mapping
GET,/admin/finance/withdraws/limit/list,ACTIVE,2,0,/risk-control/temporary-restriction-list,2 | page initialization,200,True,admin,finance,大量小額提款檢查列表,后台/风控管理/大量小額提款檢查/大量小額提款檢查列表.bru,valid stage 2/3 UI Network; see page-action mapping
