operation,required_target_ref,prerequisite,recovery_path,status,executed,side_effect,evidence
Transfer,KYC-RUN-B9CA6D6A0704,"valid current-run UID, original and target upline",restore original upline only if API/UI permits,BLOCKED_DEFERRED_LAST_RISKY,no,none,control present in member list/detail DOM; no existing-record write clicked
Unblock,KYC-RUN-B9CA6D6A0704,current-run UID must first be blocked by this flow,restore original restriction state,BLOCKED_NOT_SELECTED_LOWEST_RISK_ONLY,no,none,control present in member list/detail DOM; no existing-record write clicked
Remaining Risk Control / Withdraw-Bet-Login Lock actions,KYC-RUN-B9CA6D6A0704,current-run UID and baseline limitation/risk states,unlock or restore every changed flag,BLOCKED_NOT_SELECTED_LOWEST_RISK_ONLY,no,none,control present in member list/detail DOM; no existing-record write clicked
Credit or Debit,KYC-RUN-B9CA6D6A0704,"current-run UID, wallet baseline, bounded test amount and reason",opposite adjustment plus wallet/transaction reconciliation,BLOCKED_NOT_SELECTED_LOWEST_RISK_ONLY,no,none,control present in member list/detail DOM; no existing-record write clicked
Turnover requirement adjustment,KYC-RUN-B9CA6D6A0704,current-run UID and exact turnover baseline,restore exact prior requirement if supported,BLOCKED_RECOVERY_UNPROVEN,no,none,control present in member list/detail DOM; no existing-record write clicked
Deposit multiple adjustment,KYC-RUN-B9CA6D6A0704,current-run UID and exact original multiplier,restore original multiplier and verify log,BLOCKED_NOT_SELECTED_LOWEST_RISK_ONLY,no,none,control present in member list/detail DOM; no existing-record write clicked
Manual Adjust VIP,KYC-RUN-B9CA6D6A0704,current-run UID and original VIP/manual level,downgrade/restore must be proven before execution,BLOCKED_RECOVERY_UNPROVEN,no,none,control present in member list/detail DOM; no existing-record write clicked
Token Top-Up and Withdrawal,KYC-RUN-B9CA6D6A0704,"current-run UID, token wallet baseline and bounded amount",opposite adjustment and token ledger reconciliation,BLOCKED_DEFERRED_LAST_RISKY,no,none,control present in member list/detail DOM; no existing-record write clicked
Reset Password,KYC-RUN-B9CA6D6A0704,current-run UID,original secret cannot be recovered,BLOCKED_NO_SAFE_RECOVERY_PATH,no,none,control present in member list/detail DOM; no existing-record write clicked
Convert to Agent,KYC-RUN-B9CA6D6A0704,"current-run UID, all other validations complete",reverse conversion not proven,BLOCKED_NO_SAFE_RECOVERY_PATH,no,none,control present in member list/detail DOM; no existing-record write clicked
Clear Turnover Requirement,KYC-RUN-B9CA6D6A0704,"current-run UID, all other validations complete",cleared source requirements cannot be reconstructed safely,BLOCKED_NO_SAFE_RECOVERY_PATH,no,none,control present in member list/detail DOM; no existing-record write clicked
Add Member submit,KYC-RUN-B9CA6D6A0704,unique controlled account/email/phone and proven deletion/cleanup path,delete/disable created member and verify,NOT_SUBMITTED_CLEANUP_UNPROVEN,no,none,control present in member list/detail DOM; no existing-record write clicked
Deposit Function Limitation Lock → Unlock,KYC-RUN-B9CA6D6A0704,approved current-run UID; before state Allowed; real approval TOTP,same-row Unlock with real approval TOTP,EXECUTED_RESTORED,yes,temporary Forbidden state; restored to Allowed,record-flow-member-limitation-flow.json before/write/after/restore/restored
