surface,top_menu,page_name,page_route,control_type,action_name,method,normalized_path,query_fields,path_fields,body_fields,header_fields,parameter_source,http_status,business_status,response_structure,auth_role,side_effect,before_state,after_state,original_category,original_name,original_source_file,classification,currently_used_by_ui,evidence,anomaly,blocked_scope
admin,Game,FS 派发管理,/gamev2/freespin-grants,tab,FS Grants,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=CLICKED; exact selector {""role"": ""tab"", ""name"": ""FS Grants"", ""exact"": true}",,Click produced no XHR/fetch; navigation/DOM effect requires follow-up
admin,Game,FS 批量派发纪录,/gamev2/freespin-import-logs,tab,FS Batch Distribution Records,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=CLICKED; exact selector {""role"": ""tab"", ""name"": ""FS Batch Distribution Records"", ""exact"": true}",,Click produced no XHR/fetch; navigation/DOM effect requires follow-up
admin,Game,Game List Management,/gamev2/game-management,pagination,2,POST,/admin/game/search,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: authenticated browser session/runtime,200,True,"object; keys=ids,list,page,page_size,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/game,+游戏列表查询-owen-aliang,后台/game管理/游戏管理/+游戏列表查询-owen-aliang.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 1697; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""2""}",,
admin,Game,Game List Management,/gamev2/game-management,pagination,287,POST,/admin/game/search,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: authenticated browser session/runtime,200,True,"object; keys=ids,list,page,page_size,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/game,+游戏列表查询-owen-aliang,后台/game管理/游戏管理/+游戏列表查询-owen-aliang.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 1807; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""287""}",,
admin,Game,Game List Management,/gamev2/game-management,pagination,3,POST,/admin/game/search,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: authenticated browser session/runtime,200,True,"object; keys=ids,list,page,page_size,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/game,+游戏列表查询-owen-aliang,后台/game管理/游戏管理/+游戏列表查询-owen-aliang.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 1719; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""3""}",,
admin,Game,Game List Management,/gamev2/game-management,pagination,4,POST,/admin/game/search,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: authenticated browser session/runtime,200,True,"object; keys=ids,list,page,page_size,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/game,+游戏列表查询-owen-aliang,后台/game管理/游戏管理/+游戏列表查询-owen-aliang.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 1741; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""4""}",,
admin,Game,Game List Management,/gamev2/game-management,pagination,5,POST,/admin/game/search,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: authenticated browser session/runtime,200,True,"object; keys=ids,list,page,page_size,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/game,+游戏列表查询-owen-aliang,后台/game管理/游戏管理/+游戏列表查询-owen-aliang.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 1763; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""5""}",,
admin,Game,Game List Management,/gamev2/game-management,pagination,•••,POST,/admin/game/search,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: authenticated browser session/runtime,200,True,"object; keys=ids,list,page,page_size,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/game,+游戏列表查询-owen-aliang,后台/game管理/游戏管理/+游戏列表查询-owen-aliang.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 1785; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""•••""}",,
admin,Game,Provider Management,/gamev2/manufacturer-management,pagination,2,POST,/admin/platform/search,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: authenticated browser session/runtime,200,True,"object; keys=list,page,page_size,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/game,+查询厂商列表-owen,后台/game管理/厂商管理/+查询厂商列表-owen.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 1675; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""2""}",,
admin,Logs,Logs,/logs/list,pagination,2,GET,/admin/log/list,"end_time,page,page_size,start_time",,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Query: current page filter/pagination; Header: authenticated browser session/runtime,200,True,"object; keys=d,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/other,操作日志,代理管理后台/系统/操作日志.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 30; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""2""}",,
admin,Logs,Logs,/logs/list,pagination,3,GET,/admin/log/list,"end_time,page,page_size,start_time",,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Query: current page filter/pagination; Header: authenticated browser session/runtime,200,True,"object; keys=d,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/other,操作日志,代理管理后台/系统/操作日志.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 48; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""3""}",,
admin,Logs,Logs,/logs/list,pagination,4,GET,/admin/log/list,"end_time,page,page_size,start_time",,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Query: current page filter/pagination; Header: authenticated browser session/runtime,200,True,"object; keys=d,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/other,操作日志,代理管理后台/系统/操作日志.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 66; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""4""}",,
admin,Logs,Logs,/logs/list,pagination,5,GET,/admin/log/list,"end_time,page,page_size,start_time",,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Query: current page filter/pagination; Header: authenticated browser session/runtime,200,True,"object; keys=d,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/other,操作日志,代理管理后台/系统/操作日志.bru,ACTIVE,YES,"fat-admin-explicit-read-actions.json Network events 84; exact selector {""locator"": "".ant-pagination a, .ant-pagination button"", ""accessible_name"": ""5""}",,
