用例编号,类型,模块/接口,用例名称,前置条件,参数/步骤,预期结果,级别,验收点
ISOP-2072-C01,API,ISOP-2072,BI五分钟节奏,连续任务触发日志，统一换算UTC+8；依赖：Q-02,观察至少连续三次和整点/跨日两侧,按5分钟相位触发，不按上次结束时间漂移；记录开始/结束/状态，不能仅看配置文本,高,AC-01
ISOP-2072-C02,API,ISOP-2072,Pagcor十分钟相位,UTC+8日志，含00:02/00:12/00:22及小时边界；依赖：Q-02,读取真实触发记录并与BI区分,Pagcor遵循02/12/22/32/42/52，不能误为00/10/20；两任务互不替代,高,AC-02
ISOP-2072-C03,API,ISOP-2072,源数到结果表基准,固定截止点，已知状态/时间/UID/线路及金额样本；依赖：Q-02、Q-03,独立过滤聚合源数据，等待完成后读取两表和映射页面,各目标维度笔数/金额/UID去重一致，无漏重或跨线路串数；仅按确认覆盖的业务公式比较,高,AC-04
ISOP-2072-C04,API,ISOP-2072,午夜归日和迟到记录,东八区午夜边界前/边界/后记录（UTC前日16:00附近），及昨日结算今日到达样本；依赖：Q-01、Q-02,观察跨日批次及确认的补算任务,按东八区业务日边界转换时间戳，不重复加8小时；批次覆盖日期按确认方案；晚到旧日记录在承诺范围/时效内补入；若不自动覆盖应明确标限制及修复途径,高,AC-04
ISOP-2072-C05,API,ISOP-2072,重结算与取消撤销,原结算D日后改D+1或金额/有效状态变化；依赖：Q-01、Q-03,通过授权业务测试通道产生修订，观察对应批次,旧日/旧分组撤销旧贡献，新日计新贡献；取消按对应统计规则移除；差异和全量方案都不能只加不减,高,AC-04
ISOP-2072-C06,API,ISOP-2072,重复批次与无数据变化,同一截止点同表同日已完整计算，另有确实变空的目标分组；依赖：Q-01、Q-05,再次完成相同批次；再核对源数据已变空的批次,重复不累计、数量金额不变；确认范围内变空的旧分组不能残留；空输入与读取失败须区分,高,AC-04
ISOP-2072-C07,API,ISOP-2072,指定表指定日期重算,两允许表、一个东八区日期，记录其他日期/表快照；依赖：Q-03、Q-04,分别调用每表重算并取得完成证据,目标日期结果正确，未指定表/日期不被误写；受理不等于完成；依赖范围扩大必须契约明确,高,AC-03
ISOP-2072-C08,API,ISOP-2072,非法参数与越权拒绝,无权限/失效会话；任意表名、缺失/非法日期、超范围参数；依赖：Q-04,调用重算API并核对任务及数据,拒绝不允许表/日期和身份，不创建执行任务或修改报表；不泄露SQL/凭据，表名不能用作任意SQL入口,高,AC-03
ISOP-2072-C09,API,ISOP-2072,手工与排程重叠,同表同日排程运行，手工重算及重复请求同时进入；依赖：Q-04、Q-05,在隔离范围触发重叠并观察最终结果,按确认策略串行/拒绝/去重等处理，最终一份正确结果，无重复累计、旧版本反盖或范围串写,高,AC-03
ISOP-2072-C10,API,ISOP-2072,超时漏跑与恢复,开发提供任务超过周期、暂停漏一轮、源读取失败的受控演练；依赖：Q-02、Q-05,观察下一轮、恢复和任务可见状态,按确认策略恢复；不将未完成批次标成功，不无限堆积；记录实际延迟与待修复日期，不能无限重试掩盖失败,高,AC-04
ISOP-2072-C11,API,ISOP-2072,批次发布及新旧切换,已有完整旧结果，新批次写一部分时失败；切换前后来源记录；依赖：Q-03、Q-05,由开发演练切换/失败恢复，QA持续只读查询,旧完整或新完整结果按约定发布，半成品不得冒充完成；旧RisingWave不反写新值；恢复/回滚不丢完整结果,高,AC-04
ISOP-2072-C12,FLOW,ISOP-2072,关联公式与页面导出回归,确认页面映射及2022/2028/2041/2043交付版本，含JP和体育/非体育样本；依赖：Q-03,同一已完成批次对比独立基准、列表、合计及导出,筛选和指标语义保持相应需求口径；不同GGR不强行相等；新刷新方式不导致旧JP混入、体育漏计或导出读取旧版本,高,AC-04
