用例编号,类型,模块/接口,用例名称,前置条件,参数/步骤,预期结果,级别,验收点
ISOP-2031-C01,FLOW,ISOP-2031,从派发起算的期限,派发时间与通知生成时间不同，可控制时钟；依赖：Q-02,在确认到期点前/等于/后登录并关闭登录相关弹窗,以派发时刻计算一个月，期内按约定显示、期外不显示；不得改用通知生成时刻续期，奖金不变,高,AC-01
ISOP-2031-C02,FLOW,ISOP-2031,三事件与文案,充值成功、Daily Reward、投注返利各一笔，另有充值失败/处理中；依赖：Q-01仅返利文案,在五主页面分别接收三事件,三事件匹配AC-02文案和对应金额；返利字符串按跨单确认；失败/处理中不显示到账成功,中,AC-02
ISOP-2031-C03,FLOW,ISOP-2031,API/MQTT同事件去重,同一派发事件分别通过API与MQTT到达，含重连重发；依赖：Q-02,按两通道不同先后展示，关闭、刷新、重登及跨端观察,同一事件按约定范围最多展示一次；不重复计入余额；不能以通道不同生成两份通知,高,AC-01
ISOP-2031-C04,FLOW,ISOP-2031,未送达与账户事实,通知丢失/超过期限，但资金已到账；依赖：Q-02,打开钱包和Transactions核对,到账记录及余额正确；需求不保证送达，不能单凭漏提示判资金失败,中,AC-01
ISOP-2031-C05,FLOW,ISOP-2031,其他页面延迟通知,分别在三方游戏、二级详情等非五主页面收到有效事件,返回首页/Game/Rewards/Filcoin/My各页；再切其他主页面,返回任一主页面只显示最终图片、不播放动画；不能换页再弹同事件；不二次加余额,中,AC-03
ISOP-2031-C06,UI,ISOP-2031,普通动画金额,两个确定余额和到账差额，含小数/较大显示值；依赖：Q-03,正常在首页接收到款事件,动画起止和时序符合最终设计，结束余额与接口一致；遮挡/换页不影响余额,中,AC-03
ISOP-2031-C07,FLOW,ISOP-2031,首页充值返回,从首页发起受控充值，成功事件到达时点可控制；依赖：Q-04,完成约定充值节点，观察返回页、通知及Transactions,移除Details并回首页；成功通知到达才显示到账效果；Transactions保留查询，Header图标按设计；先后竞争依Q-04,中,AC-04
ISOP-2031-C08,FLOW,ISOP-2031,并发通知与聚合,不同充值/Daily Reward事件及2032聚合返利事件，含重复；依赖：Q-03；2032 Q-07,接收后切页、关闭与恢复,按确认队列与聚合粒度呈现，不串金额/文案，不因合并通知改变账变,中,AC-03
ISOP-2031-C09,FLOW,ISOP-2031,五主页面即时效果,分别停留首页/Game列表/Rewards/Filcoin/My，通知明确已收到；依赖：Q-03仅动画细节,每页触发本版三类到账事件,五页均即时展示动画及正确最终金额；与其他页面返回静态分支区分；精确时序依素材,中,AC-03
ISOP-2031-C10,FLOW,ISOP-2031,登录弹窗顺序,一个月内的未消费事件，登录后有多个既有弹窗；依赖：Q-02确认消费时点,登录后依次关闭弹窗，记录通知出现时机,不抢占登录相关弹窗，关闭后再展示；不因多个关闭回调重复播放,中,AC-01
ISOP-2031-C11,FLOW,ISOP-2031,My充值返回与失败,从My充值；覆盖成功、处理中、取消及失败返回；依赖：Q-04,完成约定步骤并控制通知先于/晚于返回,成功链路也回首页而不是My或Details；没有成功通知不能伪报到账；异常去向及早到通知按Q-04,中,AC-04
ISOP-2031-C12,FLOW,ISOP-2031,排除本版外事件,Loss Rebate、Level Up、Check In、Birthday及Daily Reward免费旋转事件,回放不同事件类型，另发合法Daily Reward现金事件,本版新增动画处理器不错误套用三类现金到账提示；免费旋转提示留后续Sprint；既有其他提示不被误删,中,AC-02
