method,normalized_path,classification,documented_name,module,source_file,ui_observed,note
GET,/admin/ad/material/delete,DOCUMENTED_UNVERIFIED,删除素材,other,后台/运营管理/客户端管理/素材管理/删除素材.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/ad/material/detail,DOCUMENTED_UNVERIFIED,素材详情,other,后台/运营管理/客户端管理/素材管理/素材详情.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/ad/material/platform/menu,ACTIVE,素材管理支持的平台枚举,other,后台/运营管理/客户端管理/素材管理/素材管理支持的平台枚举.bru,YES,
GET,/admin/ad/material/type/delete,DOCUMENTED_UNVERIFIED,删除素材类型,other,后台/运营管理/客户端管理/素材管理/删除素材类型.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/ad/material/type/list,ACTIVE,素材种类列表,other,后台/运营管理/客户端管理/素材管理/素材种类列表.bru,YES,
GET,/admin/banner/delete,DOCUMENTED_UNVERIFIED,轮播图删除,other,后台/轮播图-首页弹窗/轮播图删除.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/banner/menu,ACTIVE,轮播图菜单,other,后台/轮播图-首页弹窗/轮播图菜单.bru,YES,
GET,/admin/banner/user/count,DOCUMENTED_UNVERIFIED,名单数量-todo,other,后台/轮播图-首页弹窗/名单数量-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/banner/user/list,DOCUMENTED_UNVERIFIED,查看名单-todo,other,后台/轮播图-首页弹窗/查看名单-todo.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/bonus/activity/list,DOCUMENTED_UNVERIFIED,活动列表 - felix.bru,promo,后台/礼金/活动列表 - felix.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/bonus/export,DOCUMENTED_UNVERIFIED,导出礼金列表 - felix,other,后台/VIP/导出礼金列表 - felix.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/bonus/list,DOCUMENTED_UNVERIFIED,礼金列表 - felix,other,后台/VIP/礼金列表 - felix.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/bonus/review/export,DOCUMENTED_UNVERIFIED,导出待审订单 - felix.bru,other,后台/礼金/导出待审订单 - felix.bru,NO,No STALE/REPLACED_BY decision without replacement or non-use evidence
GET,/admin/bonus/review/list,ACTIVE,待审订单列表 - felix.bru,other,后台/礼金/待审订单列表 - felix.bru,YES,
GET,/admin/bonus/review/noneed/list,ACTIVE,导出过审礼金列表 - felix.bru,other,后台/礼金/导出过审礼金列表 - felix.bru,YES,
