top_menu,page_name,page_permission_path,action_name,method,normalized_path,parameter_fields,parameter_source,http_status,business_status,response_structure,auth_role,side_effect,before_state,after_state,original_category,original_name,classification,currently_used_by_ui,evidence,blocked_scope
会员,会员列表,/admin/member/list,清空提款密码,GET,/admin/finance/member/wallet/pwd/clear,uid,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,清空提款密码 -- ducky,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员列表,/admin/member/list,会员导出,GET,/admin/member/export,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/member,数据导出 - seven/double,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员列表,/admin/member/list,解封,POST,/admin/member/unblock,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/member,block解封,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,会员kyc详情,GET,/admin/kyc/detail,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/kyc,kyc详情 | 获取 kyc 详情 - double,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,会员密码otp修改,POST,/admin/user/update/password,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/auth,后台员工修改密码,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,会员登陆日志,GET,/admin/member/log/list,client_id|page|page_isze|reg_device_no,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/member,会员登录日志-seven,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,会员流水清理,POST,/admin/member/turnover/clear,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/member,会员流水清理-light,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,转为代理,,/admin/member/become/agent,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,,,UNDOCUMENTED_CANDIDATE,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,会员转线-查询,GET,/admin/superior/one,uid,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/other,代理查询,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,会员转线-变更,POST,/admin/superior/update,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/other,会员转线,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,会员转线-记录,GET,/admin/superior/log,uid,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/other,会员转线log,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,会员充值倍率调整,POST,/admin/member/deposit/multiple/update,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,用户充值倍率调整-aliang,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,会员充值倍率操作记录,GET,/admin/member/deposit/multiple/log,operator_types|page|page_size|uid,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,用户充值倍率调整日志列表-aliang,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员详情,/admin/member/detail,vip等级手动调整,POST,/admin/member/vip/level/manual/upgrade,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/member,会员vip手动升级,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员奖励表,/admin/promo/vip/log,会员奖励表-列表,GET,/admin/promo/vip/log/list,page|page_size,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/promo,奖励表列表-aliang,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
会员,会员奖励表,/admin/promo/vip/log,会员奖励表-导出,GET,/admin/promo/vip/log/export,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/promo,奖励表-导出-aliang,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,存款记录,/finance/deposit,存款记录-列表,POST,/admin/finance/deposit/list,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,200,True,object:d|s|summary|t,current FAT admin; exact role name TO_CAPTURE,none observed,not captured,not captured,admin/finance,充值列表-wesley,DOCUMENTED_REACHABLE,UNVERIFIED_PENDING_UI_SCAN,fat-admin-api-evidence.json,awaiting UI interaction and Network evidence
财务管理,存款记录,/finance/deposit,存款记录-同步,POST,/admin/finance/deposit/sync,id,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,充值同步状态-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,存款记录,/finance/deposit,存款列表导出,POST,/admin/finance/deposit/export,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,充值记录导出-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,提现记录,/finance/withdraw,提现记录-列表,POST,/admin/finance/withdraw/list,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,200,True,object:d|s|summary|t,current FAT admin; exact role name TO_CAPTURE,none observed,not captured,not captured,admin/finance,提现列表-wesley,DOCUMENTED_REACHABLE,UNVERIFIED_PENDING_UI_SCAN,fat-admin-api-evidence.json,awaiting UI interaction and Network evidence
财务管理,提现记录,/finance/withdraw,提现记录-同步,POST,/admin/finance/withdraw/sync,id,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,提现同步状态-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,提现记录,/finance/withdraw,取款列表导出,POST,/admin/finance/withdraw/export,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,提现记录导出-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,会员钱包帐变,/finance/transaction,会员钱包帐变-类型,GET,/admin/finance/transaction/types,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,200,True,list,current FAT admin; exact role name TO_CAPTURE,none observed,not captured,not captured,admin/finance,账变类型- wesley,DOCUMENTED_REACHABLE,UNVERIFIED_PENDING_UI_SCAN,fat-admin-api-evidence.json,awaiting UI interaction and Network evidence
财务管理,会员钱包帐变,/finance/transaction,会员钱包帐变-列表,POST,/admin/finance/transaction/list,cash_type|page|page_size,inventory/runtime query names only; body and UI source TO_CAPTURE,200,True,object:d|s|t,current FAT admin; exact role name TO_CAPTURE,none observed,not captured,not captured,admin/finance,账变列表- wesley,DOCUMENTED_REACHABLE,UNVERIFIED_PENDING_UI_SCAN,fat-admin-api-evidence.json,awaiting UI interaction and Network evidence
财务管理,会员钱包帐变,/finance/transaction,会员详情-查看钱包,GET,/admin/finance/member/wallet,uid,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,会员钱包 - wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,支付渠道,/finance/cate,支付渠道-通道列表,GET,/admin/finance/payment/channel/list,name|page|page_size|payment_name|state,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,支付渠道通道列表,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,支付渠道,/finance/cate,支付渠道-提款通道列表,GET,/admin/finance/payment/withdraw/channels,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,提现渠道列表-cold,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,支付渠道,/finance/cate,支付渠道-通道新增,POST,/admin/finance/payment/channel/insert,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,添加支付渠道通道,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,支付渠道,/finance/cate,支付渠道-充值通道列表,GET,/admin/finance/payment/deposit/channels,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,支付渠道列表-cold,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,支付渠道,/finance/cate,支付渠道-通道修改,POST,/admin/finance/payment/channel/update,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,更新支付渠道通道,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,支付渠道,/finance/cate,渠道配置列表,GET,/admin/finance/payment/platform/list,mode|page|page_size,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,支付平台列表,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,支付渠道,/finance/cate,添加渠道,POST,/admin/finance/payment/platform/insert,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,添加支付平台,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,支付渠道,/finance/cate,编辑渠道,POST,/admin/finance/payment/platform/update,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,更新支付平台,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,支付渠道,/finance/cate,渠道开关,POST,/admin/finance/payment/platform/enable,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,支付平台开关,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,lazada订单,/finance/lazada,lazada订单列表,POST,/admin/finance/lazada/order/list,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,lazada-订单列表-owen,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
财务管理,lazada订单,/finance/lazada,lazada发送验证码,POST,/admin/finance/lazada/send/sms,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,lazada-重新发货-owen,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,提现审核通过,POST,/admin/finance/withdraw/agree,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,提现同意-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,提现审核拒绝,POST,/admin/finance/withdraw/reject,id,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,提现拒绝-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,存款记录-补单,GET,/admin/finance/deposit/manual/success,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,充值补单-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,提现审核-列表,GET,/admin/finance/withdraw/risk/audit/list,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,200,True,object:d|s|summary|t,current FAT admin; exact role name TO_CAPTURE,none observed,not captured,not captured,admin/finance,提现审核列表-wesley,DOCUMENTED_REACHABLE,UNVERIFIED_PENDING_UI_SCAN,fat-admin-api-evidence.json,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,提现订单-列表,,/admin/finance/withdraw/risk/list,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,,,UNDOCUMENTED_CANDIDATE,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,存款订单-列表,GET,/admin/finance/deposit/risk/list,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,200,True,object:d|s|summary|t,current FAT admin; exact role name TO_CAPTURE,none observed,not captured,not captured,admin/finance,充值列表-wesley,DOCUMENTED_REACHABLE,UNVERIFIED_PENDING_UI_SCAN,fat-admin-api-evidence.json,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,提现批量审核通过,POST,/admin/finance/withdraw/batch/agree,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,批量提现同意-cold,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,提现批量审核拒绝,POST,/admin/finance/withdraw/batch/reject,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,批量提现拒绝-cold,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,提现订单-出款失败,POST,/admin/finance/withdraw/fail,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,出款失败-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,存/提审核,/risk/control/wd,提现订单-出款成功,POST,/admin/finance/withdraw/success,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,出款成功-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,上下分记录,/risk/control/adjust,上下分记录-列表,GET | POST,/admin/finance/adjust/list,action|amount_max|amount_min|bill_no|operator_uid|page|page_size|phone|uid,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,手动上下分列表-wesley | 系统调整,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
风控管理,上下分记录,/risk/control/adjust,上下分记录-新增,POST,/admin/finance/adjust/insert,TO_CAPTURE,inventory/runtime query names only; body and UI source TO_CAPTURE,,,unverified,current FAT admin; exact role name TO_CAPTURE,TO_VERIFY_BEFORE_WRITE,not captured,not captured,admin/finance,余额调整 | 添加手动上下分-wesley,DOCUMENTED_UNVERIFIED,UNVERIFIED_PENDING_UI_SCAN,permission tree + FAT bundle,awaiting UI interaction and Network evidence
