surface,top_menu,page_name,page_route,control_type,action_name,method,normalized_path,query_fields,path_fields,body_fields,header_fields,parameter_source,http_status,business_status,response_structure,auth_role,side_effect,before_state,after_state,original_category,original_name,original_source_file,classification,currently_used_by_ui,evidence,anomaly,blocked_scope
admin,Agent Management,Agency statistical report,/agency-management/agency-statistical,filter_submit,Apply registered filters via Query,GET,/admin/reports/agency,"end_time,field,page,page_size,sort,start_time,user_name",,,"accept,accept-language,client-id,client-version,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Query: current page filter/pagination; Header: authenticated browser session/runtime,200,True,"object; keys=a,d,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,admin/report,代理统计报表,后台/代理管理/代理统计报表.bru,ACTIVE,YES,fat-admin-explicit-read-actions.json Network events 147; exact selector registered Query/Search selector from explicit action inventory,,
admin,Agent Management,Agency statistical report,/agency-management/agency-statistical,input,End Date,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=INTERACTED; exact selector {""locator"": ""input, textarea"", ""placeholder_or_name"": ""End Date""}",,Click produced no XHR/fetch; navigation/DOM effect requires follow-up
admin,Agent Management,Agency statistical report,/agency-management/agency-statistical,input,Page Size,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=SKIPPED_NOT_ACTIONABLE; exact selector {""locator"": ""input, textarea"", ""placeholder_or_name"": ""Page Size""}",,Control was not actionable in the fresh page state
admin,Agent Management,Agency statistical report,/agency-management/agency-statistical,select,Page Size,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=SKIPPED_NOT_ACTIONABLE; exact selector {""locator"": "".ant-layout-content .ant-select"", ""visible_text"": ""Page Size""}",,Control was not actionable in the fresh page state
admin,Agent Management,Agency statistical report,/agency-management/agency-statistical,input,Please enter the agent account,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=INTERACTED; exact selector {""locator"": ""input, textarea"", ""placeholder_or_name"": ""Please enter the agent account""}",,Click produced no XHR/fetch; navigation/DOM effect requires follow-up
admin,Agent Management,Agency statistical report,/agency-management/agency-statistical,input,Start Date,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=INTERACTED; exact selector {""locator"": ""input, textarea"", ""placeholder_or_name"": ""Start Date""}",,Click produced no XHR/fetch; navigation/DOM effect requires follow-up
admin,Game,Betting Record,/game/bet-orders,filter_submit,Apply registered filters via Query,POST,/admin/record/game,,,,"accept,accept-language,client-id,client-version,content-type,d,lang,referer,sec-ch-ua,sec-ch-ua-mobile,sec-ch-ua-platform,t,user-agent,x-device-id",Header: authenticated browser session/runtime,200,True,"object; keys=a,d,fd,s,t",FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed; registered low-risk interaction,Page reloaded and Network reached quiet state before action,Action response captured; no business mutation observed,,,,UNDOCUMENTED_ACTIVE,YES,fat-admin-explicit-read-actions.json Network events 843; exact selector registered Query/Search selector from explicit action inventory,,
admin,Game,Betting Record,/game/bet-orders,input,End Date,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=INTERACTED; exact selector {""locator"": ""input, textarea"", ""placeholder_or_name"": ""End Date""}",,Click produced no XHR/fetch; navigation/DOM effect requires follow-up
admin,Game,Betting Record,/game/bet-orders,input,Please enter,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=INTERACTED; exact selector {""locator"": ""input, textarea"", ""placeholder_or_name"": ""Please enter""}",,Click produced no XHR/fetch; navigation/DOM effect requires follow-up
admin,Game,Betting Record,/game/bet-orders,select,Please select,,,,,,,No request captured,,,unverified,FAT admin authenticated browser session; exact role/permission mapping pending,No mutation observed,Page loaded,No request captured,,,,DOCUMENTED_UNVERIFIED,CONTROL_PRESENT_NO_REQUEST,"fat-admin-explicit-read-actions.json execution status=INTERACTED; exact selector {""locator"": "".ant-layout-content .ant-select"", ""visible_text"": ""Please select""}",,Click produced no XHR/fetch; navigation/DOM effect requires follow-up
