path,bundle_referenced,documented,documented_methods,inventory_names,runtime_api_executed,http_status,business_status,classification,classification_basis
/admin/ad/material/delete,YES,YES,GET,删除素材,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/detail,YES,YES,GET,素材详情,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/insert,YES,YES,POST,新增素材,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/list,YES,YES,POST,素材列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/platform/menu,YES,YES,GET,素材管理支持的平台枚举,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/type/delete,YES,YES,GET,删除素材类型,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/type/insert,YES,YES,POST,新增素材种类,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/type/list,YES,YES,GET,素材种类列表,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/type/update,YES,YES,POST,编辑素材种类,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/type/update/state,YES,YES,POST,更新素材种类状态,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/update,YES,YES,POST,编辑素材,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/ad/material/update/state,YES,YES,POST,更新素材状态或排序,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/agency/audit/agree,YES,YES,POST,代理审核同意-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
/admin/agency/audit/list,YES,NO,,,NO,,,UNDOCUMENTED_CANDIDATE,Referenced by current FAT bundle; absent from inventory; not executed from UI
/admin/agency/audit/reject,YES,YES,POST,代理审核拒绝-wesley,NO,,,DOCUMENTED_UNVERIFIED,Referenced by current FAT bundle; not executed from UI
