用例编号,类型,用例名称,状态,负责人,模块/接口,级别,验收点,前置条件,参数/步骤,预期结果,验证方式
ISOP-2090-C07,功能,指定游戏重复选择保护,NOT_RUN,待分派,ISOP-2090,高,AC-07,'- 两个指定游戏分组,1. 第一组选择游戏后在第二组查找并尝试选择,"'- 已被其他组选择的游戏禁用；
- 一注不得命中两个指定组",API + 人工UI
ISOP-2090-C09,功能,条款与活动方案,BLOCKED,待分派,ISOP-2090,高,AC-09,'- 日/周/月及有限/无限上限配置；依赖：Q-02,1. 分别打开前台条款与后台配置,'- 按Q-02明确的方案匹配展示，不让有限上限活动使用无上限承诺,人工UI
ISOP-2090-C01,API,类型独立门槛与全额计算,NOT_RUN,待分派,ISOP-2090,高,AC-01,"'- 固定VIP费率1%；
- A净输800门槛500，B净输200门槛300；
- 无限上限",1. 按同一周期执行已授权结算并只读对账,"'- A返8、B返0；
- A按800全额计，不按超出部分300计",API + 只读对账
ISOP-2090-C02,API,严格超过边界,NOT_RUN,待分派,ISOP-2090,高,AC-02,"'- 同费率1%、门槛500；
- 净输499、500、501三个会员",1. 分别取得周期结算结果,"'- 返利为0、0、5.01；
- 等于门槛不发",API + 只读对账
ISOP-2090-C03,API,上限0及正上限,NOT_RUN,待分派,ISOP-2090,高,AC-03,"'- 净输800、门槛0、比例1%；
- 上限0与5两个独立样本",1. 读取配置并核对实际返利,"'- 上限0返8，上限5返5；
- 0不能沿旧正文解释为停发",API + 只读对账
ISOP-2090-C04,API,盈利类型不抵销,NOT_RUN,待分派,ISOP-2090,高,AC-04,"'- A净输800，B净输-1000；
- A比例1%、门槛0、上限0",1. 核同周期两类型及总返利,"'- A返8、B返0；
- 总净额为负也不抹掉A返利",API + 只读对账
ISOP-2090-C05,API,排除及指定优先级,NOT_RUN,待分派,ISOP-2090,高,AC-05,"'- 同一游戏同时在排除、指定组、类型中；
- 各比例不同",1. 逐项核对该游戏投注归属与计返,"'- 排除游戏不计投注/派彩/返利；
- 非排除指定游戏只命中指定组，不再叠加类型",API + 只读对账
ISOP-2090-C06,API,指定组净输合并,NOT_RUN,待分派,ISOP-2090,高,AC-06,"'- 同组两游戏净输800和-300；
- 组门槛400、费率1%、上限0",1. 核组内汇总与周期返利,"'- 组净输500，返5；
- 不先对组内每游戏负值清零",API + 只读对账
ISOP-2090-C08,API,派发、流水与报表对账,BLOCKED,待分派,ISOP-2090,高,AC-08,"'- 已确认周期、VIP及粒度；
- 固定返利与流水倍数；依赖：Q-03、Q-04、Q-05、Q-06、Q-07、Q-09、Q-10",1. 读取奖金额、账变、流水及主表/明细,"'- 流水总要求等于实派返利×共用倍数；
- 账变按Q-03、报表封顶标记按Q-10核定；
- VIP、金额、配置及周期/重试依对应问题决定",API + 只读对账
ISOP-2090-C10,API,VIP/配置时点及金额精度,BLOCKED,待分派,ISOP-2090,高,AC-10,'- 周期中升级VIP、费率变更、存在小数金额及历史0配置的独立样本；依赖：Q-04、Q-06、Q-07、Q-08,1. 冻结投注/配置时点，对比结算明细,"'- 依Q-04确定VIP等级，按Q-06处理小额和舍入、Q-07处理配置生效、Q-08处理历史0配置；
- 不套用2032未声明共享的规则",API + 只读对账
ISOP-2090-C11,API,周期边界及重复派发,BLOCKED,待分派,ISOP-2090,高,AC-11,'- 周/月跨界已结算样本与批次标识；依赖：Q-05、Q-09,1. 在契约确认后核两个相邻周期及失败重试,"'- 周期归属按Q-05，失败恢复与防重复按Q-09；
- 核对对应批次与到账记录",API + 只读对账
