"scenario_id","priority","flow_stage","flow_stage_label","polarity","scenario_name","api_scope","endpoints_or_assets","precondition","test_data","steps","expected_assertions","automation_status","notes"
"MF-001","P0","01_register_login","注册登录","positive","客户端 OTP 登录成功","client","OTP 发送接口 + OTP 登录接口","FAT 环境可用，测试手机号可接收或固定 OTP 生效","测试手机号、OTP 从环境变量注入","发送 OTP；使用手机号和 OTP 登录；保存 token；访问一个受保护只读接口","HTTP 200；响应可解码；业务 status=true；返回 token；后续受保护接口通过","implemented_as_setup","当前由 runner 前置登录完成，后续建议沉淀为独立 auth 用例"
"MF-055","P0","01_register_login","注册登录","positive","新增测试用户注册成功","client","/member/sms；/member/register","FAT 固定 OTP 生效；使用未注册测试手机号","随机测试手机号、OTP、测试密码","发送注册短信；使用 otp_id、code、password 调用注册接口","HTTP 200；业务 status=true；返回 token；is_reg=1","implemented_controlled","已通过 P0 主流程写操作冒烟；不放入只读 P0 门禁"
"MF-002","P0","01_register_login","注册登录","negative","OTP 错误时登录失败","client","OTP 登录接口","已有有效手机号和 otp_id","错误 OTP","使用错误 OTP 登录","HTTP 200 或业务错误码可解码；业务 status=false；不返回有效 token；错误信息明确","implemented_negative","已由 P0 API 反例 runner 覆盖"
"MF-003","P0","01_register_login","注册登录","negative","缺少 OTP 或 otp_id 时登录失败","client","OTP 登录接口","无","缺少 otp 或 otp_id 的请求体","提交缺少必要字段的登录请求","业务 status=false；返回参数校验错误；不创建登录态","implemented_negative","已由 P0 API 反例 runner 覆盖"
"MF-004","P0","01_register_login","注册登录","negative","过期或已使用 OTP 不能重复登录","client","OTP 登录接口","可制造过期 OTP 或同一 OTP 重复使用","过期 OTP 或已使用 OTP","先正常登录一次；再复用同一 OTP 或使用过期 OTP","业务 status=false；不返回新 token；错误原因可识别","blocked_by_test_data","需要环境支持 OTP 过期/复用数据控制"
"MF-005","P0","01_register_login","注册登录","negative","非法手机号或区号不能发送 OTP","client","OTP 发送接口","无","非法手机号、非法 country_code","提交非法手机号或区号发送 OTP","业务 status=false；返回参数校验错误；不触发短信发送","candidate","需要先从接口文档确认 OTP 发送接口路径"
"MF-006","P0","01_register_login","注册登录","negative","未登录访问受保护接口被拒绝","client","任一受保护只读接口，如 /member/detail","不携带 Authorization 或 token header","无 token","直接请求受保护接口","HTTP 401/403 或业务 status=false；不能返回会员敏感数据","implemented_negative","已由 P0 API 反例 runner 覆盖"
"MF-007","P0","01_register_login","注册登录","negative","无效 token 访问受保护接口被拒绝","client","任一受保护只读接口，如 /finance/wallet","携带伪造或过期 token","invalid token","用无效 token 请求接口","HTTP 401/403 或业务 status=false；不能返回会员敏感数据","implemented_negative","已由 P0 API 反例 runner 覆盖"
"MF-008","P1","01_register_login","注册登录","positive","第三方登录绑定或登录成功","client","第三方登录相关接口","三方沙箱账号可用","三方授权 code/token","发起三方登录；完成授权回调；生成会员登录态","业务 status=true；生成 token；会员绑定关系正确","manual_review","如果新增三方登录，这是 auth 专项，不建议只靠接口文档生成"
"MF-009","P1","01_register_login","注册登录","negative","第三方登录授权失败不创建登录态","client","第三方登录相关接口","三方沙箱可返回失败授权","无效授权 code/token","提交无效三方授权","业务 status=false；不创建会员；不返回登录 token","manual_review","依赖三方沙箱和回调链路"
"MF-010","P0","02_kyc","KYC","positive","查询会员 KYC 详情成功","client","/member/kyc/detail","已登录会员","正常测试会员","请求 KYC 详情","HTTP 200；status=true；data 为对象；包含 uid、phone","implemented","对应当前 TC-001"
"MF-011","P0","02_kyc","KYC","negative","未登录查询 KYC 详情失败","client","/member/kyc/detail","无 token","无","请求 KYC 详情","不能返回会员 KYC 数据；鉴权失败明确","implemented_negative","已由 P0 API 反例 runner 覆盖"
"MF-012","P0","02_kyc","KYC","negative","KYC 提交缺少必填字段失败","client","KYC 提交或 v2 insert 接口","已登录会员，且账号允许提交 KYC","缺少姓名、证件号、生日或图片等字段","提交缺字段 KYC 请求","业务 status=false；返回字段校验错误；不生成待审记录","do_not_auto_run_yet","写接口，需确认测试账号和数据回滚策略后再自动化"
"MF-013","P0","02_kyc","KYC","negative","已通过 KYC 的会员不能重复提交","client","KYC 提交接口","已通过 KYC 会员","已通过 KYC 的测试账号","再次提交 KYC","业务 status=false；提示状态不允许；原 KYC 状态不变","blocked_by_test_data","需要固定 KYC 已通过账号"
"MF-014","P0","03_deposit","充值","positive","获取充值渠道列表成功","client","/finance/channel/list?mode=2&source=huawei","已登录会员","正常会员","请求充值渠道列表","HTTP 200；status=true；data 为列表；至少允许空列表但结构稳定","implemented","对应当前 TC-002"
"MF-015","P0","03_deposit","充值","positive","创建充值订单成功","client","/finance/channel/list?mode=1；/finance/payment/deposit","已登录会员；可用充值通道；测试支付通道可控","GCash 充值通道、标准金额档位","查询充值通道；选择可用 GCash 通道；创建充值订单","status=true；返回 order_id 和支付链接；报告脱敏支付链接","implemented_controlled","已通过 P0 主流程写操作冒烟；充值通道必须使用 mode=1"
"MF-016","P0","03_deposit","充值","negative","充值金额低于通道最小限额失败","client","充值下单接口","已登录会员；可用支付渠道","低于 min amount 的金额","创建充值订单","业务 status=false；提示金额不符合限额；不生成有效订单","manual_review","需要从通道配置或后台接口读取限额"
"MF-017","P0","03_deposit","充值","negative","充值金额高于通道最大限额失败","client","充值下单接口","已登录会员；可用支付渠道","高于 max amount 的金额","创建充值订单","业务 status=false；提示金额不符合限额；不生成有效订单","manual_review","需要稳定测试通道配置"
"MF-018","P0","03_deposit","充值","negative","禁用或不存在的充值通道不能下单","client","充值下单接口","已登录会员","禁用 channel_id 或不存在 channel_id","创建充值订单","业务 status=false；提示通道不可用；不生成有效订单","implemented_negative","已由 P0 API 反例 runner 覆盖不存在通道场景"
"MF-019","P0","03_deposit_check","充值相关数据检查","positive","查询充值记录成功","client","/finance/deposit/list","已登录会员","正常会员","请求充值记录列表","HTTP 200；status=true；data 包含 d、t、s","implemented","对应当前 TC-003"
"MF-020","P0","03_deposit_check","充值相关数据检查","negative","非法充值记录筛选参数被拒绝或安全降级","client","/finance/deposit/list","已登录会员","非法 status、非法 time_flag、超大 page_size","请求充值记录列表","接口不报 5xx；返回参数错误或安全默认结果；响应结构稳定","candidate","适合先调试接口真实规则后加入自动化"
"MF-021","P0","04_bet","投注","positive","新版首页游戏聚合成功","client","/member/v2/index","已登录会员","正常会员","请求新版首页游戏聚合","HTTP 200；status=true；data 为对象；包含 banners","implemented","对应当前 TC-008"
"MF-022","P0","04_bet","投注","positive","查询新版游戏列表组合成功","client","/member/game/listRw","已登录会员","合法 venues、sort、page 参数","请求游戏列表","HTTP 200；status=true；data 包含 d、t、s","implemented","对应当前 TC-007"
"MF-023","P0","04_bet","投注","positive","查询推荐、最近、历史游戏成功","client","/member/game/list/recommend；/recent；/history","已登录会员","正常会员","分别请求推荐、最近、历史游戏","HTTP 200；status=true；响应结构稳定","implemented","对应当前 TC-004 到 TC-006"
"MF-024","P0","04_bet","投注","negative","旧游戏列表接口业务失败时不能判定为通过","client","/member/game/list","已登录会员","正常会员","请求旧游戏列表接口","HTTP 200 但业务 status=false 时，测试必须失败并提示使用 v2 或 listRw","candidate","这是当前已知老接口替代关系，适合做回归保护"
"MF-025","P0","04_bet","投注","negative","非法游戏列表参数不能导致 5xx","client","/member/game/listRw","已登录会员","非法 venues、sort、page_size","请求游戏列表","接口不报 5xx；业务错误或安全默认结果；响应结构可解码","implemented_negative","已由 P0 API 反例 runner 覆盖"
"MF-026","P0","04_bet","投注","negative","维护中或下架游戏不能进入正常投注链路","client","游戏详情/启动/投注相关接口","已登录会员；存在维护或下架游戏","维护中 game_id","发起进入游戏或投注前置请求","业务 status=false；提示游戏不可用；不生成投注会话","manual_review","需要接入具体游戏启动或投注接口，且依赖场馆状态"
"MF-027","P0","05_payout_check","派彩/投注相关数据检查","positive","查询会员游戏投注记录成功","client","/member/game/bet/list","已登录会员","正常会员","请求投注记录列表","HTTP 200；status=true；data 包含 d、t","implemented","对应当前 TC-009"
"MF-028","P0","05_payout_check","派彩/投注相关数据检查","positive","投注记录与账变记录金额方向可核对","client","/member/game/bet/list；/finance/transaction/list","已登录会员；账号有投注或派彩数据","有历史投注数据的测试会员","查询投注记录；查询账变；按时间和金额抽样核对","投注、派彩、账变方向一致；无重复入账","blocked_by_test_data","需要稳定含投注数据账号或可控造数流程"
"MF-029","P0","05_payout_check","派彩/投注相关数据检查","negative","非法投注记录时间范围不导致 5xx","client","/member/game/bet/list","已登录会员","非法 time_flag 或反向时间区间","请求投注记录","接口不报 5xx；参数错误或空结果结构稳定","candidate","先调试真实规则"
"MF-030","P0","06_withdraw","提现","positive","查询提现 tab 配置成功","client","/finance/payment/tab/list","已登录会员","正常会员","请求提现 tab 配置","HTTP 200；status=true；data 为列表","implemented","对应当前 TC-010"
"MF-031","P0","06_withdraw","提现","positive","创建提现申请成功","client","/finance/payment/withdraw","已登录会员；已完成 KYC；绑定提现方式；余额充足；测试资金可控；无活动流水限制或已完成流水","合法金额、提现账户、可能需要资金密码或额外前置","查钱包；查提款账户；提交提现申请","status=true；生成提现单；余额或冻结金额变化正确；后台可查待审记录","blocked_by_test_data","当前测试账号命中活动流水限制；更换无流水限制账号或完成流水后复测"
"MF-032","P0","06_withdraw","提现","negative","余额不足不能提现","client","提现申请接口","已登录会员；余额不足","大于可提现余额金额","提交提现申请","业务 status=false；提示余额不足；不生成待审提现单","blocked_by_test_data","需要固定低余额账号"
"MF-033","P0","06_withdraw","提现","negative","未完成 KYC 不能提现","client","提现申请接口","未完成 KYC 会员","合法金额和提现账户","提交提现申请","业务 status=false；提示 KYC 未完成或状态不允许；不冻结余额","blocked_by_test_data","需要固定未 KYC 账号"
"MF-034","P0","06_withdraw","提现","negative","缺少或错误资金密码不能提现","client","提现申请接口","已登录会员；余额充足；绑定提现方式","缺少或错误资金密码","提交提现申请","业务 status=false；提示资金密码错误；不生成提现单","implemented_negative","已由 P0 API 反例 runner 用低额或前置不足场景覆盖不生成提现单"
"MF-035","P0","06_withdraw_check","提现相关数据检查","positive","查询提现记录成功","client","/finance/withdraw/list","已登录会员","正常会员","请求提现记录列表","HTTP 200；status=true；data 包含 d、t、s","implemented","对应当前 TC-011"
"MF-036","P0","06_withdraw_check","提现相关数据检查","negative","非法提现记录筛选参数被拒绝或安全降级","client","/finance/withdraw/list","已登录会员","非法 status、time_flag、page_size","请求提现记录","接口不报 5xx；返回参数错误或稳定空结果","implemented_negative","已由 P0 API 反例 runner 覆盖"
"MF-037","P0","07_related_data_check","以上相关数据检查","positive","查询钱包成功","client","/finance/wallet","已登录会员","正常会员","请求钱包","HTTP 200；status=true；data 包含 uid、balance、withdrawable、locked","implemented","对应当前 TC-014"
