"前置编号","要求","检查方法","状态","关联范围","缺少内容"
"PRE-01","FAT环境和账号登录","本轮fresh登录；只记录身份/角色校验","待检查","全部用例","历史登录不代表本轮可用"
"PRE-02","唯一负责人Davinci","核对Story负责人映射","待检查","全部用例",""
"PRE-03","编辑账号与独立复核账号","账号A/B已提供；本轮登录核对角色及复核权限","账号齐备，权限待核验","双人复核/普通角色权限","B编辑→A复核已有证据；B复核历史被拒绝，不阻塞其他用例"
"PRE-04","隔离数据","先生成fixture清单；异常样本不复用","待检查","读写/流程","已有异常草稿保留"
"PRE-05","PNG边界图片","校验格式及512000/512001字节","待检查","图片","历史本地文件可复用，执行前核对"
"PRE-06","分行字段与同步映射","验证nearest_branch保存；门店ID同步单独核对实际字段映射","字段已知，映射待确认","分行保存/跨表同步","实际KYC表存在nearest_branch；sid未列入编辑接口文档，异常草稿不核准"
"PRE-07","驳回原因必填与长度探测","分别尝试500/1000/2000字节；记录接受/拒绝、保存字节数和截断；拒绝区间再细化","可准备探测","驳回原因","AC-03明确驳回原因必填；长度探测不预设最大值，三次采样不能证明精确上限"
"PRE-08","UI定位与动作","离线校验；实际页面只读扫描一次","待检查","UI","Restore遮挡已有失败证据"
"PRE-09","并发复核与故障恢复扩展","不同复核者竞争需一名编辑者+两名复核者；故障恢复需可控故障入口","扩展前置未齐","仅并发/恢复扩展，不阻塞普通读写或冒烟","同一复核者并发已有证据；不同复核者竞争缺第三身份，故障恢复缺注入入口"
"PRE-10","分行联动游戏类型限制","核对目标分行限制配置、同步接口及独立读取依据","契约与自动断言待补","C18；不计入当前冻结计划覆盖","远端人工通过记录已保留，原环境/版本和证据待关联；不以旧分行字段保存断言替代"
