top_menu,page_name,page_route,action_name,status,target_reference,target_id,before_state,after_state,side_effect,evidence,reason
Home,Home,/home,"On
Closed",BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Member Management,Member,/member-center/list,Add Member,BLOCKED_PREREQUISITE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,Creation form requires additional valid fields/assets/approval or lacks a proven cleanup path
Member Management,Member,/member-center/list,Transfer,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Member Management,Member,/member-center/list,Unblock,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Member Management,Member,/member-center/list,Reset Password,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Member Management,Member,/member-center/list,Convert to Agent,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Report Management,Game Reports,/report-management/game-reports/list,Recalculate,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Report Management,Game Type Reports,/report-management/game-types-report/list,Recalculate,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Report Management,Game Platform Reports,/report-management/game-platform-report/list,Recalculate,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Report Management,Member Daily Game Stats,/report-management/member-daily-game-stats,Reset Data,BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
Finance Management,Payment Channels,/payment/channel-ordersV2,"是
否",BLOCKED_DATA_SCOPE,,,,,No proven side effect,fat-admin-write-form-probes.json + explicit action inventory,No current-run-created target with the required business state
