surface,top_menu,page_name,page_route,control_type,action_name,method,normalized_path,request_fields,parameter_source,http_status,business_status,response_structure,auth_role,side_effect,before_state,after_state,original_category,original_name,original_source_file,classification,currently_used_by_ui,target_ref,evidence,blocked_scope
admin,Member Management,Member Detail,/member-center/detail/{uid},record_write,Function Limitation: Bet Lock,POST,/admin/member/limitation/state/update,code | flag | note | platform_names | state | uid,selected current-run UID; row state; controlled note; approval TOTP,200,True,data:null,authenticated FAT admin with member limitation permission; approval TOTP,temporary Bet restriction,Bet — + Lock Allowed —,Bet — Locked Forbidden Unlock,admin/member,更新会员限制状态,后台/会员列表/更新会员限制状态.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-limitation-bet-flow.json,
admin,Member Management,Member Detail,/member-center/detail/{uid},record_write,Function Limitation: Bet Unlock / Restore,POST,/admin/member/limitation/state/update,code | flag | note | state | uid,selected current-run UID; row state; controlled note; approval TOTP,200,True,data:null,authenticated FAT admin with member limitation permission; approval TOTP,restored Bet restriction baseline,Bet — Locked Forbidden Unlock,Bet — + Lock Allowed —,admin/member,更新会员限制状态,后台/会员列表/更新会员限制状态.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-limitation-bet-flow.json,
admin,Member Management,Member Detail,/member-center/detail/{uid},record_write,Function Limitation: Login Lock,POST,/admin/member/limitation/state/update,code | flag | note | state | uid,selected current-run UID; row state; controlled note; approval TOTP,200,True,data:null,authenticated FAT admin with member limitation permission; approval TOTP,temporary Login restriction,Login — + Lock Allowed —,Login — Locked Forbidden Unlock,admin/member,更新会员限制状态,后台/会员列表/更新会员限制状态.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-limitation-login-flow.json,
admin,Member Management,Member Detail,/member-center/detail/{uid},record_write,Function Limitation: Login Unlock / Restore,POST,/admin/member/limitation/state/update,code | flag | note | state | uid,selected current-run UID; row state; controlled note; approval TOTP,200,True,data:null,authenticated FAT admin with member limitation permission; approval TOTP,restored Login restriction baseline,Login — Locked Forbidden Unlock,Login — + Lock Allowed —,admin/member,更新会员限制状态,后台/会员列表/更新会员限制状态.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-limitation-login-flow.json,
admin,Member Management,Member Detail,/member-center/detail/{uid},record_state,Function Limitation: Withdraw,,,,,,,,authenticated FAT admin,none,Withdraw KYC 流程 + Lock Forbidden —,Withdraw KYC 流程 + Lock Forbidden —,,,,DOCUMENTED_UNVERIFIED,UI_CONTROL_PRESENT,FAT-MEMBER-REV-01,record-flow-member-limitation-withdraw-flow.json,Current-run member baseline was already Forbidden; no honest Allowed→Forbidden transition available
admin,Member Management,Member,/member-center/list,button,Risk Control,POST,/admin/member/update,google_code | note | status | uid,selected current-run UID; controlled reason; status chosen by row action; approval TOTP,200,True,data:null,authenticated FAT admin with member update permission; approval TOTP,member placed under risk control,status=0; Risk Control visible,status=1; Unrisk Control visible,admin/member,更新会员 - seven/double,后台/会员列表/更新会员 - seven-double.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-risk-control-flow.json,
admin,Member Management,Member,/member-center/list,button,Unrisk Control,POST,/admin/member/update,google_code | note | status | uid,selected current-run UID; controlled reason; status chosen by row action; approval TOTP,200,True,data:null,authenticated FAT admin with member update permission; approval TOTP,risk control removed; baseline restored,status=1; Unrisk Control visible,status=0; Risk Control visible,admin/member,更新会员 - seven/double,后台/会员列表/更新会员 - seven-double.bru,ACTIVE,YES,FAT-MEMBER-REV-01,record-flow-member-risk-control-flow.json,
admin,Member Management,Member,/member-center/list,button,Convert to Agent,POST,/admin/member/become/agent,acc_type | google_code | settle_type | uid,selected current-run UID; fixed Weekly Settlement; account type; approval TOTP,200,True,data:null,authenticated FAT admin with agent-conversion permission; approval TOTP,terminal test member converted to agent,is_agent=false,is_agent=true (GET /admin/member/detail),,,,UNDOCUMENTED_ACTIVE,YES,FAT-MEMBER-END-01,record-flow-member-convert-agent.json,
admin,Member Management,Member,/member-center/list,button,Reset Password,,,Notification Method | Verification Code,live form controls,,,,authenticated FAT admin,none,,,,,,DOCUMENTED_UNVERIFIED,UI_CONTROL_PRESENT,FAT-MEMBER-END-01,record-flow-member-terminal-reset-password-probe.json,Requires member notification method and member-side verification code; no legal code captured
admin,Member Management,Member,/member-center/list,button,Transfer,,,Transferred Member | Target Inviter Phone Number | Note,live form controls,,,,authenticated FAT admin,none,,,,,,DOCUMENTED_UNVERIFIED,UI_CONTROL_PRESENT,FAT-MEMBER-END-01,record-flow-member-terminal-transfer-probe.json,Form mapped; submission deferred until a valid current-run inviter relationship is proven
